Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Mobile Learning Recommender System Based on Learning Styles","Soft Computing and Signal Processing","","","","10.1007/978-981-13-3600-3_29","Shivam SaryarSucheta V. KolekarRadhika M. PaiM. M. Manohara Pai","2019","http://link.springer.com/chapter/10.1007/978-981-13-3600-3_29","Chapter"
"Smart e-course recommender based on learning styles","Journal of Computers in Education","","1","1","10.1007/s40692-014-0003-0","Moushir M. El-BishoutyTing-Wen ChangSabine GrafKinshukNian-Shing Chen","2014","http://link.springer.com/article/10.1007/s40692-014-0003-0","Article"
"Modified Literature Based Approach to Identify Learning Styles in Adaptive E-Learning","Advanced Computing, Networking and Informatics- Volume 1","","","","10.1007/978-3-319-07353-8_64","Sucheta V. KolekarRadhika M. PaiM. M. Manohara Pai","2014","http://link.springer.com/chapter/10.1007/978-3-319-07353-8_64","Chapter"
"Learning Object Assembly Based on Learning Styles","Smart Education and e-Learning 2016","","","","10.1007/978-3-319-39690-3_40","Aldo Ramirez-ArellanoJuan Bory-ReyesLuis Manuel Hernández-Simón","2016","http://link.springer.com/chapter/10.1007/978-3-319-39690-3_40","Chapter"
"Facilitating Learning Through Dynamic Student Modelling of Learning Styles","Towards Learning and Instruction in Web 3.0","","","","10.1007/978-1-4614-1539-8_1","Sabine GrafKinshukQingsheng ZhangPaul MaguireVictoria Shtern","2012","http://link.springer.com/chapter/10.1007/978-1-4614-1539-8_1","Chapter"
"Learning styles assessment and theoretical origin in an E-learning scenario: a survey","Artificial Intelligence Review","","42","4","10.1007/s10462-012-9344-0","L. Jegatha DeborahR. BaskaranA. Kannan","2014","http://link.springer.com/article/10.1007/s10462-012-9344-0","Article"
"Integrating Learning Styles in an Adaptive Hypermedia System with Adaptive Resources","Computer Science and Engineering—Theory and Applications","","","","10.1007/978-3-319-74060-7_3","Carlos HurtadoGuillermo LiceaMario Garcia-Valdez","2018","http://link.springer.com/chapter/10.1007/978-3-319-74060-7_3","Chapter"
"Analyzing Learner Characteristics and Courses Based on Cognitive Abilities, Learning Styles, and Context","Smart Learning Environments","","","","10.1007/978-3-662-44447-4_1","Moushir M. El-BishoutyTing-Wen ChangRenan LimaMohamed B. ThahaKinshukSabine Graf","2015","http://link.springer.com/chapter/10.1007/978-3-662-44447-4_1","Chapter"
"Adaptive Course Player for Individual Learning Styles","Adaptive Hypermedia and Adaptive Web-Based Systems","","","","10.1007/978-3-540-27780-4_42","Katja ReinhardtStefan ApeltMarcus Specht","2004","http://link.springer.com/chapter/10.1007/978-3-540-27780-4_42","Chapter"
"Intelligent System E-Learning Modeling According to Learning Styles and Level of Ability of Students","Soft Computing in Data Science","","","","10.1007/978-981-10-7242-0_24","Utomo BudiyantoSri HartatiS. N. AzhariDjemari Mardapi","2017","http://link.springer.com/chapter/10.1007/978-981-10-7242-0_24","Chapter"
"Evaluating the Impact of Adaptation to Learning Styles in a Web-Based Educational System","Advances in Web Based Learning – ICWL 2009","","","","10.1007/978-3-642-03426-8_41","Elvira Popescu","2009","http://link.springer.com/chapter/10.1007/978-3-642-03426-8_41","Chapter"
"An empirical study of using sequential behavior pattern mining approach to predict learning styles","Education and Information Technologies","","23","4","10.1007/s10639-017-9667-1","Somayeh FatahiFaezeh Shabanali-FamiHadi Moradi","2018","http://link.springer.com/article/10.1007/s10639-017-9667-1","Article"
